Unnamed: 0,Player,Debut,Age,G,MP,FG%,3P%,FT%,PER GAME MP,PER GAME PTS,PER GAME TRB,PER GAME AST,PER GAME STL,PER GAME BLK,PER GAME TOV,Season,All-League Team,Rookie of the Year,Defensive Award Winner,MVP Winner,Finals MVP Winner,success,Success_Class,high_success
760,joel embiid,201610260PHI,22,31,786,0.466,0.367,0.783,25.4,20.2,7.8,2.1,0.9,2.5,3.8,2016-2017,1,0,1,1,0,3,High Success,1
793,dejounte murray,201610290SAS,20,38,322,0.431,0.391,0.7,8.5,3.4,1.1,1.3,0.2,0.2,1.0,2016-2017,0,0,1,0,0,1,Low Success,0
809,domantas sabonis,201610260PHI,20,81,1632,0.399,0.321,0.657,20.1,5.9,3.6,1.0,0.5,0.4,1.0,2016-2017,1,0,0,0,0,1,Low Success,0
813,pascal siakam,201610260TOR,22,55,859,0.502,0.143,0.688,15.6,4.2,3.4,0.3,0.5,0.8,0.6,2016-2017,1,0,0,0,0,1,Low Success,0
833,devin booker,201510280PHO,19,76,2108,0.423,0.343,0.84,27.7,13.8,2.5,2.6,0.6,0.3,2.1,2015-2016,1,0,0,0,0,1,Low Success,0
857,nikola jokic,201510280HOU,20,80,1733,0.512,0.333,0.811,21.7,10.0,7.0,2.4,1.0,0.6,1.3,2015-2016,1,0,0,1,1,3,High Success,1
873,larry nance,201511060BRK,23,63,1266,0.527,0.1,0.681,20.1,5.5,5.0,0.7,0.9,0.4,0.7,2015-2016,0,0,1,0,0,1,Low Success,0
892,karlanthony towns,201510280LAL,20,82,2627,0.542,0.341,0.811,32.0,18.3,10.5,2.0,0.7,1.7,2.2,2015-2016,1,1,0,0,0,2,High Success,1
966,julius randle,201410280LAL,20,1,14,0.333,0.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,1.0,2014-2015,1,0,0,0,0,1,Low Success,0
970,marcus smart,201410290BOS,20,67,1808,0.367,0.335,0.646,27.0,7.8,3.3,3.1,1.5,0.3,1.3,2014-2015,0,0,1,0,0,1,Low Success,0
980,andrew wiggins,201410290MEM,19,82,2969,0.437,0.31,0.76,36.2,16.9,4.6,2.1,1.0,0.6,2.2,2014-2015,0,1,0,0,0,1,Low Success,0
984,giannis antetokounmpo,201310300NYK,19,77,1897,0.414,0.347,0.683,24.6,6.8,4.4,1.9,0.8,0.8,1.6,2013-2014,1,0,1,1,1,4,High Success,1
996,michael carterwilliams,201310300PHI,22,70,2414,0.405,0.264,0.703,34.5,16.7,6.2,6.3,1.9,0.6,3.5,2013-2014,0,1,0,0,0,1,Low Success,0
999,robert covington,201401180HOU,23,7,34,0.429,0.364,0.0,4.9,2.3,0.7,0.0,0.3,0.0,0.1,2013-2014,0,0,1,0,0,1,Low Success,0
1012,rudy gobert,201310300UTA,21,45,434,0.486,0.0,0.492,9.6,2.3,3.4,0.2,0.2,0.9,0.7,2013-2014,1,0,1,0,0,2,High Success,1
1039,victor oladipo,201310290IND,21,80,2487,0.419,0.327,0.78,31.1,13.8,4.1,4.1,1.6,0.5,3.2,2013-2014,1,0,1,0,0,2,High Success,1
1047,andre roberson,201311010MIN,22,40,399,0.485,0.154,0.7,10.0,1.9,2.4,0.4,0.5,0.3,0.5,2013-2014,0,0,1,0,0,1,Low Success,0
1067,bradley beal,201210300CLE,19,56,1745,0.41,0.386,0.786,31.2,13.9,3.8,2.4,0.9,0.5,1.6,2012-2013,1,0,0,0,0,1,Low Success,0
1068,patrick beverley,201301150HOU,24,41,713,0.418,0.375,0.829,17.4,5.6,2.7,2.9,0.9,0.5,1.1,2012-2013,0,0,1,0,0,1,Low Success,0
1073,anthony davis,201210310NOH,19,64,1846,0.516,0.0,0.751,28.8,13.5,8.2,1.0,1.2,1.8,1.4,2012-2013,1,0,1,0,0,2,High Success,1
1075,andre drummond,201210310DET,19,60,1243,0.608,0.5,0.371,20.7,7.9,7.6,0.5,1.0,1.6,1.0,2012-2013,1,0,0,0,0,1,Low Success,0
1081,draymond green,201210310PHO,22,79,1061,0.327,0.209,0.818,13.4,2.9,3.3,0.7,0.5,0.3,0.6,2012-2013,1,0,1,0,0,2,High Success,1
1101,damian lillard,201210310POR,22,82,3167,0.429,0.368,0.844,38.6,19.0,3.1,6.5,0.9,0.2,3.0,2012-2013,1,1,0,0,0,2,High Success,1
1145,jimmy butler,201201010CHI,22,42,359,0.405,0.182,0.768,8.5,2.6,1.3,0.3,0.3,0.1,0.3,2011-2012,1,0,1,0,0,2,High Success,1
1167,kyrie irving,201112260CLE,19,51,1558,0.469,0.399,0.872,30.5,18.5,3.7,5.4,1.1,0.4,3.1,2011-2012,1,1,0,0,0,2,High Success,1
1178,kawhi leonard,201112260SAS,20,64,1534,0.493,0.376,0.773,24.0,7.9,5.1,1.1,1.3,0.4,0.7,2011-2012,1,0,1,0,1,3,High Success,1
1204,isaiah thomas,201112260SAC,22,65,1656,0.448,0.379,0.832,25.5,11.5,2.6,4.1,0.8,0.1,1.6,2011-2012,1,0,0,0,0,1,Low Success,0
1208,klay thompson,201112250GSW,21,66,1608,0.443,0.414,0.868,24.4,12.5,2.4,2.0,0.7,0.3,1.6,2011-2012,1,0,1,0,0,2,High Success,1
1215,kemba walker,201112260CHA,21,66,1792,0.366,0.305,0.789,27.2,12.1,3.5,4.4,0.9,0.3,1.8,2011-2012,1,0,0,0,0,1,Low Success,0
1227,eric bledsoe,201010270LAC,21,81,1841,0.424,0.276,0.744,22.7,6.7,2.8,3.6,1.1,0.3,2.4,2010-2011,0,0,1,0,0,1,Low Success,0
1230,avery bradley,201011220ATL,20,31,162,0.343,0.0,0.5,5.2,1.7,0.5,0.4,0.3,0.0,0.5,2010-2011,0,0,1,0,0,1,Low Success,0
1234,demarcus cousins,201010270MIN,20,81,2309,0.43,0.167,0.687,28.5,14.1,8.6,2.5,1.0,0.8,3.3,2010-2011,1,0,0,0,0,1,Low Success,0
1241,patrick ewing,201103300NOH,26,7,19,0.0,0.0,0.75,2.7,0.4,0.3,0.3,0.0,0.1,0.1,2010-2011,1,1,1,0,0,3,High Success,1
1246,paul george,201010270SAS,20,61,1265,0.453,0.297,0.762,20.7,7.8,3.7,1.1,1.0,0.4,1.1,2010-2011,1,0,1,0,0,2,High Success,1
1247,blake griffin,201010270LAC,21,82,3112,0.506,0.292,0.642,38.0,22.5,12.1,3.8,0.8,0.5,2.7,2010-2011,1,1,0,0,0,2,High Success,1
1284,john wall,201010280ORL,20,69,2606,0.409,0.296,0.766,37.8,16.4,4.6,8.3,1.8,0.5,3.8,2010-2011,1,0,1,0,0,2,High Success,1
1286,hassan whiteside,201010270MIN,21,1,2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2010-2011,0,0,1,0,0,1,Low Success,0
1301,stephen curry,200910280GSW,21,80,2896,0.462,0.437,0.885,36.2,17.5,4.5,5.9,1.9,0.2,3.0,2009-2010,1,0,0,1,1,3,High Success,1
1303,demar derozan,200910280TOR,20,77,1664,0.498,0.25,0.763,21.6,8.6,2.9,0.7,0.6,0.2,0.8,2009-2010,1,0,0,0,0,1,Low Success,0
1306,tyreke evans,200910280OKC,20,72,2677,0.458,0.255,0.748,37.2,20.1,5.3,5.8,1.5,0.4,3.0,2009-2010,0,1,0,0,0,1,Low Success,0
1312,danny green,200911120MIA,22,20,115,0.385,0.273,0.667,5.8,2.0,0.9,0.3,0.3,0.2,0.2,2009-2010,0,0,1,0,0,1,Low Success,0
1315,james harden,200910280OKC,20,76,1738,0.403,0.375,0.808,22.9,9.9,3.2,1.8,1.1,0.3,1.4,2009-2010,1,0,0,1,0,2,High Success,1
1318,jrue holiday,200910300PHI,19,73,1767,0.442,0.39,0.756,24.2,8.0,2.6,3.8,1.1,0.2,2.1,2009-2010,0,0,1,0,0,1,Low Success,0
1321,serge ibaka,200910300DET,20,73,1323,0.543,0.5,0.63,18.1,6.3,5.4,0.1,0.3,1.3,0.9,2009-2010,0,0,1,0,0,1,Low Success,0
1358,goran dragic,200810290SAS,22,55,728,0.393,0.37,0.769,13.2,4.5,1.9,2.0,0.5,0.1,1.3,2008-2009,1,0,0,0,0,1,Low Success,0
1361,marc gasol,200810290HOU,24,82,2521,0.53,0.0,0.733,30.7,11.9,7.4,1.7,0.8,1.1,2.0,2008-2009,1,0,1,0,0,2,High Success,1
1367,roy hibbert,200810290DET,22,70,1009,0.471,0.0,0.667,14.4,7.1,3.5,0.7,0.3,1.1,0.8,2008-2009,0,0,1,0,0,1,Low Success,0
1376,deandre jordan,200811010UTA,20,53,771,0.633,0.0,0.385,14.5,4.3,4.5,0.2,0.2,1.1,0.8,2008-2009,1,0,1,0,0,2,High Success,1
1380,brook lopez,200810290WAS,20,82,2501,0.531,0.0,0.793,30.5,13.0,8.1,1.0,0.5,1.8,1.8,2008-2009,0,0,1,0,0,1,Low Success,0
1382,kevin love,200810290MIN,20,81,2048,0.459,0.105,0.789,25.3,11.1,9.1,1.0,0.4,0.6,1.5,2008-2009,1,0,0,0,0,1,Low Success,0
1391,derrick rose,200810280CHI,20,81,3000,0.475,0.222,0.788,37.0,16.8,3.9,6.3,0.8,0.2,2.5,2008-2009,1,1,0,1,0,3,High Success,1
1403,russell westbrook,200810290OKC,20,82,2668,0.398,0.271,0.815,32.5,15.3,4.9,5.3,1.3,0.2,3.3,2008-2009,1,0,0,1,0,2,High Success,1
1416,mike conley,200711070SEA,20,53,1381,0.428,0.33,0.732,26.1,9.4,2.6,4.2,0.8,0.0,1.7,2007-2008,0,0,1,0,0,1,Low Success,0
1423,kevin durant,200710310DEN,19,80,2768,0.43,0.288,0.873,34.6,20.3,4.4,2.4,1.0,0.9,2.9,2007-2008,1,1,0,1,1,4,High Success,1
1433,al horford,200711020ATL,21,81,2540,0.499,0.0,0.731,31.4,10.1,9.7,1.5,0.7,0.9,1.7,2007-2008,1,0,1,0,0,2,High Success,1
1446,joakim noah,200711060CHI,22,74,1534,0.482,0.0,0.691,20.7,6.6,5.6,1.1,0.9,0.9,1.2,2007-2008,1,0,1,0,0,2,High Success,1
1473,lamarcus aldridge,200611120POR,21,63,1392,0.503,0.0,0.722,22.1,9.0,5.0,0.4,0.3,1.2,0.7,2006-2007,1,0,0,0,0,1,Low Success,0
1510,bobby jones,200611150SEA,23,44,336,0.462,0.111,0.561,7.6,2.5,1.3,0.4,0.3,0.0,0.4,2006-2007,0,0,1,0,0,1,Low Success,0
1514,kyle lowry,200611010MEM,20,10,175,0.368,0.375,0.893,17.5,5.6,3.1,3.2,1.4,0.1,1.2,2006-2007,1,0,0,0,0,1,Low Success,0
1520,paul millsap,200611010UTA,21,82,1472,0.525,0.333,0.673,18.0,6.8,5.2,0.8,0.8,0.9,1.1,2006-2007,0,0,1,0,0,1,Low Success,0
1534,rajon rondo,200611010BOS,20,78,1831,0.418,0.207,0.647,23.5,6.4,3.7,3.8,1.6,0.1,1.8,2006-2007,1,0,1,0,0,2,High Success,1
1535,brandon roy,200611010SEA,22,57,2015,0.456,0.377,0.838,35.4,16.8,4.4,4.0,1.2,0.2,2.0,2006-2007,1,1,0,0,0,2,High Success,1
1536,thabo sefolosha,200610310MIA,22,71,868,0.426,0.357,0.511,12.2,3.6,2.2,0.8,0.5,0.2,0.8,2006-2007,0,0,1,0,0,1,Low Success,0
1559,andrew bogut,200511010PHI,21,82,2348,0.533,0.0,0.629,28.6,9.4,7.0,2.3,0.6,0.8,1.5,2005-2006,1,0,1,0,0,2,High Success,1
1561,andrew bynum,200511020DEN,18,46,338,0.402,0.0,0.296,7.3,1.6,1.7,0.2,0.1,0.5,0.4,2005-2006,1,0,0,0,0,1,Low Success,0
1593,david lee,200511060NYK,22,67,1129,0.596,0.0,0.577,16.9,5.1,4.5,0.6,0.4,0.3,0.8,2005-2006,1,0,0,0,0,1,Low Success,0
1606,chris paul,200511010NOK,20,78,2808,0.43,0.282,0.847,36.0,16.1,5.1,7.8,2.2,0.1,2.3,2005-2006,1,1,1,0,0,3,High Success,1
1630,deron williams,200511020UTA,21,80,2307,0.421,0.416,0.704,28.8,10.8,2.4,4.5,0.8,0.2,1.8,2005-2006,1,0,0,0,0,1,Low Success,0
1636,tony allen,200411030BOS,23,77,1262,0.475,0.387,0.737,16.4,6.4,2.9,0.8,1.0,0.3,1.0,2004-2005,0,0,1,0,0,1,Low Success,0
1652,luol deng,200411050CHI,19,61,1663,0.434,0.265,0.741,27.3,11.7,5.3,2.2,0.8,0.4,1.9,2004-2005,0,0,1,0,0,1,Low Success,0
1662,dwight howard,200411030ORL,19,82,2670,0.52,0.0,0.671,32.6,12.0,10.0,0.9,0.9,1.7,2.0,2004-2005,1,0,1,0,0,2,High Success,1
1664,andre iguodala,200411030BOS,21,82,2686,0.493,0.331,0.743,32.8,9.0,5.7,3.0,1.7,0.6,1.7,2004-2005,0,0,1,0,1,2,High Success,1
1668,al jefferson,200411030BOS,20,71,1051,0.528,0.0,0.63,14.8,6.7,4.4,0.3,0.3,0.8,0.9,2004-2005,1,0,0,0,0,1,Low Success,0
1680,emeka okafor,200411040CHA,22,73,2600,0.447,0.0,0.609,35.6,15.1,10.9,0.9,0.8,1.7,1.7,2004-2005,0,1,0,0,0,1,Low Success,0
1690,josh smith,200411030PHO,19,74,2050,0.455,0.174,0.688,27.7,9.7,6.2,1.7,0.8,1.9,1.8,2004-2005,0,0,1,0,0,1,Low Success,0
1700,anderson varejao,200411040MIA,22,54,863,0.513,0.0,0.535,16.0,4.9,4.8,0.5,0.8,0.7,0.5,2004-2005,0,0,1,0,0,1,Low Success,0
1706,carmelo anthony,200310290DEN,19,82,2995,0.426,0.322,0.777,36.5,21.0,6.1,2.8,1.2,0.5,3.0,2003-2004,1,0,0,0,0,1,Low Success,0
1715,chris bosh,200310290TOR,19,75,2510,0.459,0.357,0.701,33.5,11.5,7.4,1.0,0.8,1.4,1.4,2003-2004,1,0,0,0,0,1,Low Success,0
1740,kirk hinrich,200311070CHI,23,76,2706,0.386,0.39,0.804,35.6,12.0,3.4,6.8,1.3,0.3,2.7,2003-2004,0,0,1,0,0,1,Low Success,0
1743,lebron james,200310290SAC,19,79,3122,0.417,0.29,0.754,39.5,20.9,5.5,5.9,1.6,0.7,3.5,2003-2004,1,1,1,1,1,5,High Success,1
1769,dwyane wade,200310280PHI,22,61,2126,0.465,0.302,0.747,34.9,16.2,4.0,4.5,1.4,0.6,3.2,2003-2004,1,0,1,0,1,3,High Success,1
1777,carlos boozer,200210290SAC,21,81,2049,0.536,0.0,0.771,25.3,10.0,7.5,1.3,0.7,0.6,1.3,2002-2003,1,0,0,0,0,1,Low Success,0
1789,manu ginobili,200210290LAL,25,69,1431,0.438,0.345,0.737,20.7,7.6,2.3,2.0,1.4,0.2,1.4,2002-2003,1,0,0,0,0,1,Low Success,0
1808,yao ming,200210300IND,22,82,2382,0.498,0.5,0.811,29.0,13.5,8.2,1.7,0.4,1.8,2.1,2002-2003,1,0,0,0,0,1,Low Success,0
1815,tayshaun prince,200210300DET,22,42,435,0.449,0.426,0.647,10.4,3.3,1.1,0.6,0.2,0.3,0.5,2002-2003,0,0,1,0,0,1,Low Success,0
1826,amare stoudemire,200210300SEA,20,82,2570,0.472,0.2,0.661,31.3,13.5,8.8,1.0,0.8,1.1,2.3,2002-2003,1,1,0,0,0,2,High Success,1
1839,gilbert arenas,200111040GSW,20,47,1155,0.453,0.345,0.775,24.6,10.9,2.8,3.7,1.5,0.2,2.1,2001-2002,1,0,0,0,0,1,Low Success,0
1843,shane battier,200111010MEM,23,78,3097,0.429,0.373,0.7,39.7,14.4,5.4,2.8,1.6,1.0,2.0,2001-2002,0,0,1,0,0,1,Low Success,0
1854,tyson chandler,200110310CHI,19,71,1389,0.497,0.0,0.604,19.6,6.1,4.8,0.8,0.4,1.3,1.4,2001-2002,1,0,1,0,0,2,High Success,1
1869,pau gasol,200111010MEM,21,82,3007,0.518,0.2,0.709,36.7,17.6,8.9,2.7,0.5,2.1,2.7,2001-2002,1,1,0,0,0,2,High Success,1
1878,joe johnson,200110300CLE,20,77,1916,0.43,0.292,0.774,24.9,7.5,3.3,2.3,0.8,0.3,0.9,2001-2002,1,0,0,0,0,1,Low Success,0
1880,andrei kirilenko,200110300UTA,20,82,2151,0.45,0.25,0.768,26.2,10.7,4.9,1.1,1.4,1.9,1.3,2001-2002,0,0,1,0,0,1,Low Success,0
1884,tony parker,200110300SAS,19,77,2267,0.419,0.323,0.675,29.4,9.2,2.6,4.3,1.2,0.1,2.0,2001-2002,1,0,0,0,1,2,High Success,1
1886,zach randolph,200110300LAL,20,41,238,0.449,0.0,0.667,5.8,2.8,1.7,0.3,0.2,0.1,0.4,2001-2002,1,0,0,0,0,1,Low Success,0
1902,gerald wallace,200110300SAC,19,54,430,0.429,0.0,0.5,8.0,3.2,1.6,0.5,0.4,0.1,0.4,2001-2002,0,0,1,0,0,1,Low Success,0
1909,raja bell,200104060PHI,24,5,30,0.286,0.333,0.0,6.0,1.0,0.2,0.0,0.2,0.0,0.4,2000-2001,0,0,1,0,0,1,Low Success,0
1942,mike miller,200010310ORL,20,82,2390,0.436,0.407,0.711,29.1,11.9,4.0,1.7,0.6,0.2,1.2,2000-2001,0,1,0,0,0,1,Low Success,0
1956,michael redd,200011020HOU,21,6,35,0.263,0.0,0.5,5.8,2.2,0.7,0.2,0.2,0.0,0.2,2000-2001,1,0,0,0,0,1,Low Success,0
1984,elton brand,199911030CHI,20,81,2999,0.482,0.0,0.685,37.0,20.1,10.0,1.9,0.8,1.6,2.8,1999-2000,1,0,0,0,0,1,Low Success,0
1990,baron davis,199911020CHH,20,82,1523,0.42,0.225,0.634,18.6,5.9,2.0,3.8,1.2,0.2,1.7,1999-2000,1,0,0,0,0,1,Low Success,0
2013,shawn marion,199911020DEN,21,51,1260,0.471,0.182,0.847,24.7,10.2,6.5,1.4,0.7,1.0,1.0,1999-2000,1,0,0,0,0,1,Low Success,0
2032,metta world peace,199911030CHI,20,72,2238,0.407,0.314,0.674,31.1,12.0,4.3,2.8,1.7,0.5,2.3,1999-2000,1,0,1,0,0,2,High Success,1
2042,vince carter,199902050BOS,22,50,1760,0.45,0.288,0.761,35.2,18.3,5.7,3.0,1.1,1.5,2.2,1998-1999,1,1,0,0,0,2,High Success,1
2055,larry hughes,199902050CHH,20,50,988,0.411,0.154,0.709,19.8,9.1,3.8,1.5,0.9,0.3,1.4,1998-1999,0,0,1,0,0,1,Low Success,0
2079,dirk nowitzki,199902050SEA,20,47,958,0.405,0.206,0.773,20.4,8.2,3.4,1.0,0.6,0.6,1.6,1998-1999,1,0,0,1,1,3,High Success,1
2083,paul pierce,199902050BOS,21,48,1632,0.439,0.412,0.713,34.0,16.5,6.4,2.4,1.7,1.0,2.4,1998-1999,1,0,0,0,1,2,High Success,1
2091,peja stojakovic,199902050SAS,21,48,1025,0.378,0.32,0.851,21.4,8.4,3.0,1.5,0.9,0.1,1.1,1998-1999,1,0,0,0,0,1,Low Success,0
2106,chauncey billups,199710310BOS,21,80,2216,0.374,0.329,0.85,27.7,11.2,2.4,3.9,1.3,0.1,2.2,1997-1998,1,0,1,0,1,3,High Success,1
2118,tim duncan,199710310DEN,21,82,3204,0.549,0.0,0.662,39.1,21.1,11.9,2.7,0.7,2.5,3.4,1997-1998,1,1,1,1,1,5,High Success,1
2139,tracy mcgrady,199710310MIA,18,64,1179,0.45,0.341,0.712,18.4,7.0,4.2,1.5,0.8,1.0,1.0,1997-1998,1,0,0,0,0,1,Low Success,0
2168,ray allen,199611010PHI,21,82,2532,0.43,0.393,0.823,30.9,13.4,4.0,2.6,0.9,0.1,1.8,1996-1997,1,0,0,0,0,1,Low Success,0
2171,bruce bowen,199703160MIA,25,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1996-1997,0,0,1,0,0,1,Low Success,0
2174,kobe bryant,199611030LAL,18,71,1103,0.417,0.375,0.819,15.5,7.6,1.9,1.3,0.7,0.3,1.6,1996-1997,1,0,1,1,1,4,High Success,1
2175,marcus camby,199611010TOR,22,63,1897,0.482,0.143,0.693,30.1,14.8,6.3,1.5,1.0,2.1,2.1,1996-1997,0,0,1,0,0,1,Low Success,0
2196,allen iverson,199611010PHI,21,76,3045,0.416,0.341,0.702,40.1,23.5,4.1,7.5,2.1,0.3,4.4,1996-1997,1,1,0,1,0,3,High Success,1
2203,stephon marbury,199611010MIN,19,67,2324,0.408,0.354,0.727,34.7,15.8,2.7,7.8,1.0,0.3,3.1,1996-1997,1,0,0,0,0,1,Low Success,0
2208,steve nash,199611010LAL,22,65,684,0.423,0.418,0.824,10.5,3.3,1.0,2.1,0.3,0.0,1.0,1996-1997,1,0,0,1,0,2,High Success,1
2212,jermaine oneal,199612050DEN,18,45,458,0.451,0.0,0.603,10.2,4.1,2.8,0.2,0.0,0.6,0.6,1996-1997,1,0,0,0,0,1,Low Success,0
2230,ben wallace,199611010ORL,22,34,197,0.348,0.0,0.3,5.8,1.1,1.7,0.1,0.2,0.3,0.5,1996-1997,1,0,1,0,0,2,High Success,1
2262,kevin garnett,199511030SAC,19,80,2293,0.491,0.286,0.705,28.7,10.4,6.3,1.8,1.1,1.6,1.4,1995-1996,1,0,1,1,0,3,High Success,1
2278,antonio mcdyess,199511030LAL,21,76,2280,0.485,0.0,0.683,30.0,13.4,7.5,1.0,0.7,1.5,2.0,1995-1996,1,0,0,0,0,1,Low Success,0
2286,theo ratliff,199511030DET,22,75,1305,0.557,0.0,0.708,17.4,4.5,4.0,0.2,0.2,1.5,0.7,1995-1996,0,0,1,0,0,1,Low Success,0
2295,eric snow,199511030UTA,22,43,389,0.42,0.2,0.592,9.0,2.7,1.0,1.7,0.7,0.0,0.9,1995-1996,0,0,1,0,0,1,Low Success,0
2297,damon stoudamire,199511030TOR,22,70,2865,0.426,0.395,0.797,40.9,19.0,4.0,9.3,1.4,0.3,3.8,1995-1996,0,1,0,0,0,1,Low Success,0
2325,grant hill,199411040DET,22,70,2678,0.477,0.148,0.732,38.3,19.9,6.4,5.0,1.8,0.9,2.9,1994-1995,1,0,0,0,0,1,Low Success,0
2327,juwan howard,199411190WSB,21,65,2348,0.489,0.0,0.664,36.1,17.0,8.4,2.5,0.8,0.2,2.6,1994-1995,1,0,0,0,0,1,Low Success,0
2329,eddie jones,199411040DET,23,64,1981,0.46,0.37,0.722,31.0,14.0,3.9,2.0,2.0,0.6,1.2,1994-1995,1,0,1,0,0,2,High Success,1
2330,jason kidd,199411050DAL,21,79,2668,0.385,0.272,0.698,33.8,11.7,5.4,7.7,1.9,0.3,3.2,1994-1995,1,0,1,0,0,2,High Success,1
