Unnamed: 0,Player,Debut,Age,G,MP,FG%,3P%,FT%,PER GAME MP,PER GAME PTS,PER GAME TRB,PER GAME AST,PER GAME STL,PER GAME BLK,PER GAME TOV,Season,All-League Team,Rookie of the Year,Defensive Award Winner,MVP Winner,Finals MVP Winner,success,Success_Class,high_success
2868,brad daugherty,198611010CLE,21,80,2695,0.538,0.0,0.696,33.7,15.7,8.1,3.8,0.6,0.8,3.1,1986-1987,1,0,0,0,0,1,Low Success,0
2892,nate mcmillan,198611120LAL,22,71,1972,0.475,0.0,0.617,27.8,5.3,4.7,8.2,1.8,0.6,2.2,1986-1987,0,0,1,0,0,1,Low Success,0
2897,chuck person,198610310PHI,22,82,2956,0.468,0.355,0.747,36.0,18.8,8.3,3.6,1.1,0.2,2.6,1986-1987,0,1,0,0,0,1,Low Success,0
2900,mark price,198611050UTA,22,67,1217,0.408,0.329,0.833,18.2,6.9,1.7,3.0,0.6,0.1,1.6,1986-1987,1,0,0,0,0,1,Low Success,0
2901,dennis rodman,198610310DET,25,77,1155,0.545,0.0,0.587,15.0,6.5,4.3,0.7,0.5,0.6,1.2,1986-1987,1,0,1,0,0,2,High Success,1
2926,manute bol,198510250ATL,23,80,2090,0.46,0.0,0.488,26.1,3.7,6.0,0.3,0.4,5.0,0.8,1985-1986,0,0,1,0,0,1,Low Success,0
2935,joe dumars,198510250DET,22,82,1957,0.481,0.313,0.798,23.9,9.4,1.5,4.8,0.8,0.1,1.9,1985-1986,1,0,1,0,1,3,High Success,1
2936,patrick ewing,198510260NYK,23,50,1771,0.474,0.0,0.739,35.4,20.0,9.0,2.0,1.1,2.1,3.4,1985-1986,1,1,1,0,0,3,High Success,1
2938,ac green,198510260SAS,22,82,1542,0.539,0.167,0.611,18.8,6.4,4.6,0.7,0.6,0.6,1.2,1985-1986,0,0,1,0,0,1,Low Success,0
2952,karl malone,198510250UTA,22,81,2475,0.496,0.0,0.481,30.6,14.9,8.9,2.9,1.3,0.5,3.4,1985-1986,1,0,1,1,0,3,High Success,1
2961,chris mullin,198511060GSW,22,55,1391,0.463,0.185,0.896,25.3,14.0,2.1,1.9,1.3,0.4,1.4,1985-1986,1,0,0,0,0,1,Low Success,0
2962,charles oakley,198510250CHI,22,77,1772,0.519,0.0,0.662,23.0,9.6,8.6,1.7,0.9,0.4,2.3,1985-1986,0,0,1,0,0,1,Low Success,0
2969,detlef schrempf,198510260DAL,23,64,969,0.451,0.429,0.724,15.1,6.2,3.1,1.4,0.4,0.2,1.3,1985-1986,1,0,0,0,0,1,Low Success,0
2987,charles barkley,198410260PHI,21,82,2347,0.545,0.167,0.733,28.6,14.0,8.6,1.9,1.2,1.0,2.5,1984-1985,1,0,0,1,0,2,High Success,1
3012,michael jordan,198410260CHI,21,82,3144,0.515,0.173,0.845,38.3,28.2,6.5,5.9,2.4,0.8,3.5,1984-1985,1,1,1,1,1,5,High Success,1
3016,hakeem olajuwon,198410270DAL,22,82,2914,0.538,0.0,0.613,35.5,20.6,11.9,1.4,1.2,2.7,2.9,1984-1985,1,0,1,1,1,4,High Success,1
3021,alvin robertson,198410270SAS,22,79,1685,0.498,0.364,0.734,21.3,9.2,3.4,3.5,1.6,0.3,2.1,1984-1985,1,0,1,0,0,2,High Success,1
3029,john stockton,198410260SEA,22,82,1490,0.471,0.182,0.736,18.2,5.6,1.3,5.1,1.3,0.1,1.8,1984-1985,1,0,1,0,0,2,High Success,1
3039,kevin willis,198410260NJN,22,82,1785,0.467,0.222,0.657,21.8,9.3,6.4,0.4,0.4,0.6,1.3,1984-1985,1,0,0,0,0,1,Low Success,0
3053,clyde drexler,198310280POR,21,82,1408,0.451,0.25,0.728,17.2,7.7,2.9,1.9,1.3,0.4,1.5,1983-1984,1,0,0,0,0,1,Low Success,0
3055,dale ellis,198310290DAL,23,67,1059,0.456,0.414,0.719,15.8,8.2,3.7,0.8,0.6,0.1,1.2,1983-1984,1,0,0,0,0,1,Low Success,0
3062,derek harper,198310290DAL,22,82,1712,0.443,0.115,0.673,20.9,5.7,2.1,2.9,1.2,0.3,1.4,1983-1984,0,0,1,0,0,1,Low Success,0
3072,rodney mccray,198311040DET,22,79,2081,0.499,0.25,0.731,26.3,10.8,5.7,2.2,0.7,0.7,1.5,1983-1984,0,0,1,0,0,1,Low Success,0
3082,ralph sampson,198310290HOU,23,82,2693,0.523,0.25,0.661,32.8,21.0,11.1,2.0,0.9,2.4,3.6,1983-1984,1,1,0,0,0,2,High Success,1
3106,terry cummings,198211050MIL,21,70,2531,0.523,0.0,0.709,36.2,23.7,10.6,2.5,1.8,0.9,2.9,1982-1983,1,1,0,0,0,2,High Success,1
3109,mark eaton,198210290UTA,26,81,1528,0.414,0.0,0.656,18.9,4.3,5.7,1.4,0.3,3.4,1.7,1982-1983,0,0,1,0,0,1,Low Success,0
3125,fat lever,198210290KCK,22,81,2020,0.431,0.333,0.73,24.9,7.8,2.8,5.3,1.9,0.2,1.7,1982-1983,1,0,1,0,0,2,High Success,1
3137,paul pressey,198210300MIL,24,79,1528,0.457,0.111,0.597,19.3,6.7,3.6,2.6,1.3,0.6,2.1,1982-1983,0,0,1,0,0,1,Low Success,0
3157,dominique wilkins,198210290DET,23,82,2697,0.493,0.182,0.682,32.9,17.5,5.8,1.6,1.0,0.8,2.2,1982-1983,1,0,0,0,0,1,Low Success,0
